epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.5350988450314034, 0.7948675496688742) (0.5177087275845628, 0.7716887417218543)
40 (0.5831681432619127, 0.8228476821192053) (0.5583261620756985, 0.8036423841059602)
60 (0.6016652509755698, 0.8357615894039735) (0.5800186790864816, 0.8109271523178808)
80 (0.6126073390466288, 0.8420529801324503) (0.5809037298373962, 0.812251655629139)
100 (0.6184198294079972, 0.8447019867549669) (0.5880497706424078, 0.8180463576158941)
120 (0.615801401246293, 0.845364238410596) (0.5875810162029312, 0.8160596026490067)
140 (0.6187997169966751, 0.8435430463576159) (0.5854380385017331, 0.8150662251655629)
160 (0.6151199065867817, 0.8473509933774834) (0.5858757955353489, 0.8170529801324503)
180 (0.6186244262877595, 0.8445364238410596) (0.5953802242563505, 0.8220198675496688)
200 (0.6208607220712333, 0.8443708609271523) (0.5935335873118147, 0.8208609271523178)
